UniprotID,Bgee,GeneID,Gene Names,GTEXGeneCode
Q9UMN6,ENSG00000272333,9757,"['KMT2B', 'HRX2', 'KIAA0304', 'MLL2', 'MLL4', 'TRX2', 'WBP7']",ENSG00000272333.5
Q9UPS6,ENSG00000139718,,"['SETD1B', 'KIAA1076', 'KMT2G', 'SET1B']",ENSG00000139718.10
Q9UPT9,ENSG00000124422,23326,"['USP22', 'KIAA1063', 'USP3L']",ENSG00000124422.11
Q9Y230,ENSG00000183207,10856,"['RUVBL2', 'INO80J', 'TIP48', 'TIP49B', 'CGI-46']",ENSG00000183207.13
Q9Y265,ENSG00000175792,8607,"['RUVBL1', 'INO80H', 'NMP238', 'TIP49', 'TIP49A']",ENSG00000175792.11
Q9Y2X0,ENSG00000175221,10025,"['MED16', 'DRIP92', 'THRAP5']",ENSG00000175221.14
Q9Y3C7,ENSG00000108590,51003,"['MED31', 'SOH1', 'CGI-125']",ENSG00000108590.10
Q9Y4A5,ENSG00000196367,8295,"['TRRAP', 'PAF400']",ENSG00000196367.12
Q9Y5B9,ENSG00000092201,11198,"['SUPT16H', 'FACT140', 'FACTP140']",ENSG00000092201.9
Q9Y6J9,ENSG00000162227,10629,"['TAF6L', 'PAF65A']",ENSG00000162227.7
Q9Y6Q9,ENSG00000124151,8202,"['NCOA3', 'AIB1', 'BHLHE42', 'RAC3', 'TRAM1']",ENSG00000124151.18
