Variant_ID,BRD7,P300,P300 KIX,P300 NCBD,P300 TAZ1,P300 TAZ2,TFIID TAF12,PCAF TAF6L
TET2;167,24489.17,6703.92,66094.76,86163.12,35690.33,17553.68,73676.16,10811.82
TFEC;24,24489.17,6255.89,100569.66,77780.38,40434.26,13691.92,73676.16,10811.82
THRB;1,24489.17,17183.33,100569.66,86923.66,53489.15,21611.85,73676.16,10811.82
TIGD1;40,24489.17,3450.60,100569.66,66783.53,30817.42,17591.82,73676.16,10811.82
TLE3;59,24489.17,11016.15,,48901.53,31998.39,15211.31,73676.16,10811.82
TP53;2,22769.53,5693.88,,79531.34,41901.67,9723.22,73676.16,10811.82
TP63;3,24489.17,3848.55,100569.66,88602.08,51152.31,7669.87,73676.16,10811.82
TPRX1;38,19860.17,,,62675.79,39699.87,,,10811.82
TRAFD1;23,22633.55,4187.91,100569.66,88602.08,47602.18,9319.35,73676.16,10811.82
TRERF1;31,24489.17,18465.69,100569.66,75342.87,39815.90,25508.02,73676.16,10811.82
UBN1;24,24489.17,2980.24,100569.66,64630.29,43330.47,12665.50,73676.16,10811.82
USP22;28,24489.17,12412.18,100569.66,88520.23,43560.08,13687.78,73676.16,10811.82
VP64-mEGFP,8218.85,600.53,,,46259.41,,,
ZMYM3;95,24489.17,7236.26,100569.66,82350.67,53489.15,6768.60,73676.16,10811.82
ZNF200;6,24489.17,18465.69,100569.66,88602.08,43799.28,46358.97,73676.16,10811.82
ZNF469;83,5584.31,,,73198.86,53489.15,16814.78,73676.16,10811.82
ZNF644;90,24489.17,6828.65,100569.66,88602.08,48048.84,21319.72,73676.16,10811.82
ZNF687;0,24489.17,18138.82,100569.66,88602.08,51253.58,46358.97,73676.16,10811.82
mEGFP-GS,24489.17,18465.69,100569.66,88602.08,53489.15,46358.97,73676.16,10811.82
